City,Time
Accra,nie 12:04
Addis Ababa,nie 15:04
Adelaide *,nie 22:34
Algiers,nie 13:04
Almaty,nie 17:04
Amman,nie 15:04
Amsterdam,nie 13:04
Anadyr,pon 00:04
Anchorage *,nie 04:04
Ankara,nie 15:04
Antananarivo,nie 15:04
Asuncion,nie 09:04
Athens,nie 14:05
Atlanta *,nie 08:05
Auckland *,pon 01:05
Baghdad,nie 15:05
Bangkok,nie 19:05
Barcelona,nie 13:05
Beijing,nie 20:05
Beirut,nie 14:05
Belgrade,nie 13:05
Bengaluru,nie 17:35
Berlin,nie 13:05
Bogota,nie 07:05
Boston *,nie 08:05
Brasilia,nie 09:05
Brisbane,nie 22:05
Brussels,nie 13:05
Bucharest,nie 14:05
Budapest,nie 13:05
Buenos Aires,nie 09:05
Cairo,nie 14:05
Calgary *,nie 06:05
Canberra *,nie 23:05
Cape Town,nie 14:05
Caracas,nie 08:05
